timestamp,acpi,model_count,provider_count,hardware_floor,p2_score,mean_blended_price,mean_p3_spread,mean_quality_adjustment,acpi_delta,acpi_delta_pct,notes
2026-07-24T20:13:47Z,5.3409,322,57,0.135,74.0,4.3413,32.1576,1.24,,,
2026-07-24T21:58:24Z,5.3429,322,57,0.135,74.0,4.3426,32.1671,1.24,0.002,0.0374,
2026-07-24T23:01:57Z,5.3432,322,57,0.135,74.0,4.3428,32.1691,1.24,0.0003,0.0056,
2026-07-25T01:59:58Z,5.3431,322,57,0.135,74.0,4.3428,32.1688,1.24,-0.0001,-0.0019,
2026-07-25T05:19:35Z,5.3422,322,57,0.135,74.0,4.3419,32.1622,1.24,-0.0009,-0.0168,
2026-07-25T07:54:18Z,5.3422,322,57,0.135,74.0,4.3418,32.1618,1.24,0.0,0.0,
2026-07-25T09:39:01Z,5.3421,322,57,0.135,74.0,4.3418,32.1613,1.24,-0.0001,-0.0019,
2026-07-25T11:03:19Z,5.342,322,57,0.135,74.0,4.3417,32.1606,1.24,-0.0001,-0.0019,
2026-07-25T13:07:42Z,5.342,322,57,0.135,74.0,4.3416,32.1603,1.24,0.0,0.0,
2026-07-25T14:56:38Z,5.3419,322,57,0.135,74.0,4.3416,32.1601,1.24,-0.0001,-0.0019,
2026-07-25T16:01:53Z,5.3417,322,57,0.135,74.0,4.3414,32.1585,1.24,-0.0002,-0.0037,
2026-07-25T17:53:04Z,5.3417,322,57,0.135,74.0,4.3414,32.1583,1.24,0.0,0.0,
2026-07-25T18:56:36Z,5.342,322,57,0.135,74.0,4.3416,32.1603,1.24,0.0003,0.0056,
